name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;283;0;329;3035;969;3035;1151;0
header;203;196;203;226;1839;226;1839;196
A;884;142;884;142;887;142;887;142
A;980;410;980;410;980;410;980;410
A;1020;578;1020;579;1020;579;1020;578
D;861;610;861;652;895;652;895;610
A;929;611;929;653;959;653;959;611
A;1006;872;1006;900;1029;900;1029;872
B;769;1054;769;1074;785;1074;785;1054
B;1011;1545;1011;1573;1031;1573;1031;1545
B;983;1927;983;1943;993;1943;993;1927
C;1007;2165;1007;2194;1028;2194;1028;2165
A;729;2941;729;2953;735;2953;735;2941
