name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;400;0;468;3031;998;3031;975;0
header;149;119;149;151;1777;151;1777;119
A;946;179;946;207;970;207;970;179
B;700;186;700;203;710;203;710;186
B;761;406;761;422;784;422;784;406
A;468;414;468;430;477;430;477;414
B;825;415;825;431;834;431;834;415
B;952;853;952;880;972;880;972;853
B;511;1168;511;1187;525;1187;525;1168
C;950;1519;950;1547;972;1547;972;1519
B;486;1600;486;1626;504;1626;504;1600
A;926;1824;926;1841;935;1841;935;1824
D;955;2192;955;2219;977;2219;977;2192
B;847;2825;847;2840;868;2840;868;2825
B;505;2828;505;2842;525;2842;525;2828
A;928;2968;928;2972;932;2972;932;2968
